OBJECTID,Name,Link
1,Quatsino,https://native-land.ca/maps/territories/quatsino/
2,Chit-dee-ni (Chetco),https://native-land.ca/maps/territories/chit-dee-ni-chetco/
3,Karuk,https://native-land.ca/maps/territories/karuk/
4,Tututni,https://native-land.ca/maps/territories/tututni/
5,Hupacasath,https://native-land.ca/maps/territories/hupacasath/
6,Nłeʔkepmx Tmíxʷ (Nlaka'pamux),https://native-land.ca/maps/territories/nlakapamux/
7,Chepenefa,https://native-land.ca/maps/territories/chepenefa/
8,"Coos, Lower Umpqua, Siuslaw",https://native-land.ca/maps/territories/coos-lower-umpqua-siuslaw/
9,Koyukon,https://native-land.ca/maps/territories/koyukon/
10,Upper Tanana,https://native-land.ca/maps/territories/upper-tanana-2/
11,Nisqually,https://native-land.ca/maps/territories/nisqually-2/
12,x̣àʼisla w̓áwís (Haisla),https://native-land.ca/maps/territories/haisla/
13,Chinook,https://native-land.ca/maps/territories/chinook/
14,Santiam,https://native-land.ca/maps/territories/santiam/
15,Coast Salish,https://native-land.ca/maps/territories/puget-sound-salish/
16,Nisg̱a'a,https://native-land.ca/maps/territories/nisg%cc%b1aa/
17,Chafan,https://native-land.ca/maps/territories/chafan/
18,Yahooskin,https://native-land.ca/maps/territories/yahooskin/
19,Carcross/Tagish First Nation (Yukon),https://native-land.ca/maps/territories/carcross-tagish/
20,K’ómoks,https://native-land.ca/maps/territories/komoks/
21,Schitsu’umsh (Coeur d’Alene),https://native-land.ca/maps/territories/schitsuumsh-coeur-dalene/
22,Syilx tmixʷ (Okanagan),https://native-land.ca/maps/territories/okanagan/
23,Pacheedaht,https://native-land.ca/maps/territories/pacheedaht/
24,Northern Paiute,https://native-land.ca/maps/territories/northern-paiute/
25,Okanagan,https://native-land.ca/maps/territories/okanagan/
26,Stillaguamish,https://native-land.ca/maps/territories/stillaguamish/
27,Klahoose,https://native-land.ca/maps/territories/klahoose/
28,Lhaq’temish (Lummi),https://native-land.ca/maps/territories/lummi/
29,Wuikinuxv (Oweekeno),https://native-land.ca/maps/territories/wuikinuxv-oweekeno/
30,Chemapho,https://native-land.ca/maps/territories/chemapho/
31,Niitsítpiis-stahkoii ᖹᐟᒧᐧᐨᑯᐧ ᓴᐦᖾᐟ (Blackfoot / Niitsítapi ᖹᐟᒧᐧᒣᑯ),https://native-land.ca/maps/territories/niitsitapi-%e1%96%b9%e1%90%9f%e1%92%a7%e1%90%a7%e1%92%a3%e1%91%af-blackfoot/
32,Chelan,https://native-land.ca/maps/territories/chelan/
33,Tse’khene,https://native-land.ca/maps/territories/sekani/
34,Spokane,https://native-land.ca/maps/territories/spokane/
35,Snohomish,https://native-land.ca/maps/territories/snohomish/
36,Yup’ik/Cup’ik,https://native-land.ca/maps/territories/yupik/
37,ditidaqiic̓aq disib̓aʔk (Ditidaht),https://native-land.ca/maps/territories/ditidaht/
38,sdukʷalbixʷ (Snoqualmie),https://native-land.ca/maps/territories/sduk%ca%b7albix%ca%b7-snoqualmie/
39,St̓át̓imc Tmicw (St'at'imc),https://native-land.ca/maps/territories/stlatlimc/
40,Da’naxda’xw Awaetlatla,https://native-land.ca/maps/territories/danaxdaxw-awaetlatla/
41,S'Klallam,https://native-land.ca/maps/territories/klallam/
42,Hoh,https://native-land.ca/maps/territories/hoh/
43,Shasta,https://native-land.ca/maps/territories/shasta/
44,Kwakwaka’wakw,https://native-land.ca/maps/territories/kwakwakawakw/
45,sngaytskstx tum-xula7xw (Sinixt),https://native-land.ca/maps/territories/sinixt/
46,San Poil,https://native-land.ca/maps/territories/san-poil/
47,Atfalati,https://native-land.ca/maps/territories/atfalati/
48,Upper Kuskokwim,https://native-land.ca/maps/territories/upper-kuskokwim/
49,Yekooche,https://native-land.ca/maps/territories/yekooche/
50,Toquaht,https://native-land.ca/maps/territories/toquaht/
51,Clatsop,https://native-land.ca/maps/territories/clatsop/
52,Gwa’Sala-‘Nakwaxda’xw,https://native-land.ca/maps/territories/gwasala-nakwaxdaxw/
53,Lemhi-Shoshone,https://native-land.ca/maps/territories/lemhi-shoshone/
54,Methow,https://native-land.ca/maps/territories/methow/
55,Hän,https://native-land.ca/maps/territories/han/
56,Duwamish,https://native-land.ca/maps/territories/duwamish/
57,Ahantchuyuk,https://native-land.ca/maps/territories/ahantchuyuk/
58,Gitx̱san Lax̱yip,https://native-land.ca/maps/territories/gitxsan/
59,Salish & Kootenai Tribes,https://native-land.ca/maps/territories/salish-kootenai-tribes/
60,Gwitch'in Settlement Region,https://native-land.ca/maps/territories/gwitchin-settlement-region/
61,Snuneymuxw,https://native-land.ca/maps/territories/snuneymuxw/
62,Cowlitz,https://native-land.ca/maps/territories/cowlitz/
63,Nestucca,https://native-land.ca/maps/territories/nestucca/
64,Yakama,https://native-land.ca/maps/territories/yakama/
65,ƛaʔuukʷiʔatḥ (Tla-o-qui-aht),https://native-land.ca/maps/territories/%c6%9ba%ca%94uuk%ca%b7i%ca%94ath%cc%a3-tla-o-qui-aht/
66,Samish,https://native-land.ca/maps/territories/samish/
67,Ktunaxa ɁamakɁis,https://native-land.ca/maps/territories/ktunaxa/
68,Semiahmoo,https://native-land.ca/maps/territories/semiahmoo/
69,Kalispel,https://native-land.ca/maps/territories/kalispel/
70,Takelma,https://native-land.ca/maps/territories/takelma/
71,sq̓əc̓iy̓aɁɬ təməxʷ (Katzie),https://native-land.ca/maps/territories/katzie/
72,Shoalwater Bay,https://native-land.ca/maps/territories/shoalwater-bay/
73,We Wai Kum,https://native-land.ca/maps/territories/we-wai-kum/
74,Quileute,https://native-land.ca/maps/territories/quileute/
75,Tr’ondëk Hwëch’in,https://native-land.ca/maps/territories/trondek-hwechin/
76,In-SHUCK-ch,https://native-land.ca/maps/territories/in-shuck-ch/
77,Stoney,https://native-land.ca/maps/territories/stoney/
78,Tillamook and Siletz,https://native-land.ca/maps/territories/tillamook-and-siletz/
79,Wet'suwet'en Yintikh,https://native-land.ca/maps/territories/wetsuweten/
80,Tseshaht,https://native-land.ca/maps/territories/tseshaht/
81,Coquille,https://native-land.ca/maps/territories/coquille/
82,Colville,https://native-land.ca/maps/territories/colville/
83,Ts'msyen La̱xyuup (Tsimshian),https://native-land.ca/maps/territories/tsimshian/
84,Tolowa Dee-ni’,https://native-land.ca/maps/territories/coquille-umpqua-chetco-tolowa-tututni/
85,Ta’an Kwäch’än,https://native-land.ca/maps/territories/taan-kwachan/
86,Tsuu T'ina,https://native-land.ca/maps/territories/tsuu-tina/
87,Michif Piyii (Métis),https://native-land.ca/maps/territories/metis/
88,Holikachuk,https://native-land.ca/maps/territories/holikachuk/
89,Shita Got’ine,https://native-land.ca/maps/territories/shita-gotine/
90,Shoshone-Bannock,https://native-land.ca/maps/territories/shoshone-bannock/
91,Tsankupi,https://native-land.ca/maps/territories/tsankupi/
92,Confederated Tribes of Warm Springs,https://native-land.ca/maps/territories/confederated-tribes-of-warm-springs/
93,Nehalem,https://native-land.ca/maps/territories/nehalem/
94,Ka:’yu:’k’t’h’/Che:k’tles7et’h’,https://native-land.ca/maps/territories/kayukth-chektles7eth/
95,Nespelem,https://native-land.ca/maps/territories/nespelem/
96,Apsaalooké (Crow),https://native-land.ca/maps/territories/apsaalooke-crow/
97,Siletz,https://native-land.ca/maps/territories/siletz-2/
98,Yakina,https://native-land.ca/maps/territories/yakina/
99,Stellat'en,https://native-land.ca/maps/territories/stellaten/
100,sc̓əwaθenaɁɬ təməxʷ (Tsawwassen),https://native-land.ca/maps/territories/tsawwassen-sc%cc%93%c9%99wa%ce%b8en/
101,Na-cho Nyak Dun,https://native-land.ca/maps/territories/na-cho-nyak-dun/
102,Muckleshoot,https://native-land.ca/maps/territories/muckleshoot/
103,Inupiat,https://native-land.ca/maps/territories/inupiatun/
104,Lil'wat,https://native-land.ca/maps/territories/lilwat/
105,Esketemculeucw (Esk'etemc),https://native-land.ca/maps/territories/esketemculeucw-esketemc/
106,Eastern Shoshone,https://native-land.ca/maps/territories/eastern-shoshone/
